"School","Male","Female","AmericanIndian","AsianPI","Black","Hispanic","White","Under25","Over25","IncomeLess10","Income10_14","Income15_19","Income20_24","Income25_29","Income30_34","Income35_39","Income40_49","Income50_59","Income60_69","Income70_79","Income80_89","Income90_99","IncomeOver100","FamilySize1","FamilySize2","FamilySize3","FamiySize4","FamilySize5Plus","FullyDependent","PartiallyDependent","NotDependent","ParentPostGrad","ParentCollege","ParentSomeCollege","ParentHS","ParentSomeHS","Parent8Grade","SiblingsCollege","SiblingsCollegeGrad","FirstGen","Single","Married","LiveAlone","LiveFamily","LiveOthers","LiveParents","LiveStudents","LiveFriends","LiveSpouse","LiveChildren","LiveOtherRelatives","SupportChildrenYes","SupportChildrenNo","ChildrenUnder5Yes","ChildrenUnder5No","OnCampusChildcareYes","OnCampusChildcareNo","OffCampusChildcareYes","OffCampusChildcareNo","Class0","Class1_5","Class6_10","Class11_20","ClassOver20","Study0","Study1_5","Study6_10","Study11_20","StudyOver20","StudentActivities0","StudentActivities1_5","StudentActivities6_10","StudentActivities11_20","StudentActivitiesOver20","CUNYActivities0","CUNYActivities1_5","CUNYActivities6_10","CUNYActivities11_20","CUNYActivitiesOver20","Intern0","Intern1_5","Intern6_10","Intern11_20","InternOver20","Care0","Care1_5","Care6_10","Care11_20","CareOver20","Volunteer0","Volunteer1_5","Volunteer6_10","Volunteer11_20","VolunteerOver20","Commute0","Commute1_5","Commute6_10","Commute11_20","CommuteOver20","JobYes","JobNo","NotWorking","Work0.x","Work1_20","Work21_34.x","WorkOver35","CompLabYes","CompLabNo","NoHomeComp","NoHomePrint","NoHomeInternet","NoHomePrograms","Convenient","Other","CompLabVSatisfied","CompLabSatisfied","CompLabNeutral","CompLabDissatisfied","CompLabVDissatisfied","Social_5","Social_4","Social_3","Social_2","Social_1","Academic_5","Academic_4","Academic_3","Academic_2","Academic_1","Value_5","Value_4","Value_3","Value_2","Value_1","ChooseAgainDefYes","ChooseAgainProbYes","ChooseAgainNS","ChooseAgainProbNo","ChooseAgainDefNo","Commute_Subway","Commute_Bus","Commute_Car","Commute_Bike","Commute_Walk","Commute_Railroad","Commute_Ferry","Advise_5","Advise_4","Advise_3","Advise_2","Advise_1","ClearReqs_5","ClearReqs_4","ClearReqs_3","ClearReqs_2","ClearReqs_1","Athletic_5","Athletic_4","Athletic_3","Athletic_2","Athletic_1","Career_5","Career_4","Career_3","Career_2","Career_1","Health_5","Health_4","Health_3","Health_2","Health_1","Childcare_5","Childcare_4","Childcare_3","Childcare_2","Childcare_1","Disabilities_5","Disabilities_4","Disabilities_3","Disabilities_2","Disabilities_1","International_5","International_4","International_3","International_2","International_1","Veterans_5","Veterans_4","Veterans_3","Veterans_2","Veterans_1","WorkYes","WorkNo","NoWorkCantFind","NoWorkMoreTime","NoWorkNoMoney","NoWorkOther","ContinueAfford_5","ContinueAfford_4","ContinueAfford_3","ContinueAfford_2","ContinueAfford_1","Work0.y","Work1_10","Work11_20","Work21_34.y","Work35Plus","WorkLess20","WorkMore20","WorkForTuition","WorkForLiving","WorkForSocial","WorkForCareer","WorkForOther","WorkAcademic_5","WorkAcademic_4","WorkAcademic_3","WorkAcademic_2","WorkAcademic_1","TransferYes","TransferNo","DegreeYes","DegreeNo","PlanNo","PlanYes","TransferCUNYCC","TransferNonCUNYCC","TransferCUNYSenior","TransferNonCUNYSenior","ReasonDegree","ReasonReputation","ReasonCourses","ReasonLocation","ReasonAffordable","ReasonOther"
"Baruch","51","49","0","41","12","17","30","75","25","13","10","9","10","7","7","5","7","7","4","4","3","3","10","9","18","23","28","23","45","29","26","15","33","12","24","8","8","51","38","40","91","9","8","81","11","67","2","12","9","3","11","6","94","53","49","8","92","36","64","2","8","31","50","11","2","30","37","21","10","48","29","9","2","2","66","24","3","1","1","62","17","8","8","6","39","29","16","6","7","63","24","5","2","1","4","52","38","19","6","46","54","54","1","28","12","5","82","18","5","31","2","14","61","21","30","49","16","4","1","10","34","34","16","6","13","52","25","8","2","25","39","24","9","4","29","35","19","13","5","84","3","1","0","2","7","1","14","27","31","17","11","16","38","22","15","10","13","38","38","8","3","12","34","40","10","4","11","32","48","7","2","7","17","70","4","2","9","24","62","4","2","9","22","58","7","5","7","19","69","3","1","51","49","47","51","6","13","18","32","29","14","7","1","16","35","23","23","51","49","58","75","49","30","16","8","18","30","37","7","63","37","53","47","32","68","45","15","20","19","34","47","1","4","6","9"
"Brooklyn","41","59","0","19","28","16","37","73","27","15","12","9","9","9","6","7","7","5","5","3","4","3","6","11","16","22","22","28","43","28","29","15","31","16","24","8","7","58","39","39","89","11","8","86","6","70","1","8","11","6","15","9","91","45","47","8","92","36","64","2","8","28","51","11","2","37","30","21","10","62","37","6","1","1","71","29","3","1","1","69","14","8","6","4","34","32","14","8","16","67","25","7","3","2","4","35","26","12","6","48","52","52","1","31","10","5","69","31","7","34","5","20","59","21","33","50","15","2","1","15","39","32","10","4","20","52","20","6","2","23","34","27","12","5","32","36","16","12","5","44","36","8","2","8","1","0","14","33","28","16","8","18","37","22","15","9","17","40","30","7","6","12","38","36","9","5","22","39","33","4","2","14","27","51","5","3","14","34","43","4","4","10","28","54","4","4","11","24","60","3","2","52","48","44","57","6","12","15","29","34","14","8","2","22","33","18","20","57","43","59","79","41","22","19","10","17","31","36","7","60","40","59","41","40","60","52","7","23","19","42","22","2","16","7","12"
"City","49","51","0","28","21","33","18","77","23","17","12","10","12","6","6","4","7","7","4","3","2","3","6","7","16","21","27","28","46","26","27","16","30","14","24","8","8","57","40","41","92","8","5","84","11","70","1","12","10","5","13","7","93","43","55","1","99","31","69","1","6","24","53","13","1","23","36","23","15","52","26","8","2","1","66","24","4","1","0","63","19","9","7","3","36","31","15","8","10","65","23","6","2","1","4","33","29","25","7","47","53","54","1","33","8","4","84","16","5","39","3","16","66","21","21","50","22","5","2","12","37","33","13","5","13","51","23","10","3","21","37","26","11","5","27","34","20","15","5","79","7","2","1","8","3","0","13","30","30","16","11","17","38","24","13","8","8","33","45","10","4","7","31","44","11","7","9","31","48","7","4","5","13","71","4","8","11","19","65","4","2","7","17","69","4","4","8","14","75","1","2","51","49","41","63","6","8","16","36","29","12","7","3","25","37","25","17","65","35","55","79","42","24","19","9","16","31","36","7","49","51","51","49","37","63","53","10","16","21","48","19","2","8","10","13"
"Hunter","35","65","0","30","13","22","35","78","22","13","11","9","9","7","7","5","8","6","5","4","4","3","9","8","15","21","29","27","48","29","23","19","30","14","22","7","8","56","38","37","92","8","8","84","8","71","2","9","9","4","13","6","94","53","57","3","97","34","66","2","12","23","58","12","2","28","36","23","11","64","30","5","3","1","72","32","2","1","1","68","15","7","6","3","35","30","16","8","9","64","24","7","2","1","2","41","41","19","5","47","53","53","1","31","11","4","71","29","4","31","3","17","63","24","18","45","25","9","3","7","29","35","20","9","12","50","25","10","3","19","34","29","12","5","22","34","21","16","7","89","2","1","1","2","5","1","11","26","31","18","14","12","36","25","16","11","6","30","41","14","9","7","29","45","13","6","6","33","49","7","5","6","19","69","4","3","8","22","63","4","3","7","19","67","3","5","6","16","74","2","2","51","49","42","64","7","11","17","33","34","10","6","2","22","34","26","17","58","42","59","76","51","26","17","8","17","31","38","7","49","51","50","50","41","59","45","11","17","27","39","25","1","10","14","12"
"JohnJay","43","57","0","13","20","44","23","79","21","17","11","9","12","7","6","6","8","5","4","3","3","2","7","7","18","23","25","27","41","32","27","10","29","19","24","10","8","51","33","43","93","7","6","87","7","75","1","6","8","6","15","10","90","48","47","8","92","44","56","3","14","35","42","8","2","40","36","16","6","60","28","6","3","2","64","31","4","1","1","70","16","6","5","3","31","29","16","9","14","65","25","7","2","2","2","50","33","16","7","56","44","44","1","30","15","10","83","17","7","36","3","18","60","21","41","44","13","2","1","18","36","31","11","4","28","53","16","3","0","27","38","24","8","3","46","27","15","8","4","82","3","2","0","2","9","2","21","34","27","12","6","25","38","21","11","6","15","32","41","6","5","16","35","37","8","5","18","34","41","3","3","14","21","64","1","0","17","23","57","2","1","13","23","61","2","1","14","24","59","1","1","59","41","51","52","3","11","15","32","34","13","7","2","16","30","21","26","48","52","57","80","48","24","21","14","18","30","33","5","45","55","62","38","33","67","46","25","11","18","45","23","1","5","9","16"
"Lehman","32","68","0","7","32","52","8","55","45","18","13","10","9","9","8","5","10","6","3","3","2","1","3","10","20","27","22","21","30","25","45","9","27","16","25","10","14","54","40","49","84","16","10","80","10","60","1","5","16","13","12","23","77","37","52","6","94","40","60","2","15","35","41","7","1","32","38","20","9","62","26","6","2","1","63","45","3","1","0","68","16","11","7","3","26","29","18","9","18","55","23","8","2","1","3","47","28","12","7","54","46","47","1","28","13","11","75","25","7","40","4","13","60","21","44","44","11","2","0","19","41","30","7","3","24","53","17","4","1","25","41","22","8","3","40","32","16","9","3","49","29","14","1","6","1","0","21","34","27","12","6","25","39","19","11","5","24","40","31","4","2","14","38","40","6","2","17","38","41","2","1","13","22","61","2","1","17","27","53","3","1","12","23","60","4","0","13","21","64","1","0","62","38","49","54","2","10","16","29","32","14","11","1","12","27","31","39","40","60","53","84","35","22","21","14","21","31","28","6","72","28","66","34","40","60","58","13","11","18","44","12","1","18","7","18"
"MedgarEvers","28","72","0","3","86","8","2","56","44","22","11","11","13","7","10","8","5","4","2","3","1","1","2","10","18","28","16","28","30","21","49","6","26","19","30","12","6","46","39","49","85","15","11","76","13","56","1","4","14","16","16","30","70","44","63","3","97","33","67","1","12","30","41","13","1","33","36","18","11","60","24","9","3","1","45","24","8","1","1","60","18","6","8","2","23","26","18","7","23","69","30","8","3","4","4","43","27","10","12","54","46","46","1","25","16","12","84","16","12","37","7","14","62","19","48","36","14","2","0","13","41","32","10","3","17","52","22","7","2","18","36","27","14","4","27","29","18","15","10","69","15","8","0","6","1","0","17","34","29","13","8","17","35","23","15","10","13","21","48","6","11","10","38","41","8","4","17","44","36","3","1","13","28","57","1","1","25","28","46","1","0","14","28","52","3","3","10","27","60","3","0","61","39","56","48","2","13","14","30","31","13","11","1","11","29","27","29","40","60","55","85","26","21","19","17","27","27","24","6","39","61","51","49","58","42","35","18","21","25","26","2","5","27","18","21"
"NYCCT","55","45","0","23","34","29","14","71","29","19","15","11","10","7","7","6","7","5","3","3","3","2","3","7","17","24","24","28","43","27","30","9","29","16","28","10","8","53","38","46","89","11","7","87","6","73","1","5","12","6","13","11","89","38","56","6","94","30","70","1","8","25","48","13","2","42","33","15","8","70","31","5","1","1","71","28","3","1","0","69","15","7","7","3","38","31","15","7","14","64","21","6","3","2","3","48","34","13","8","45","55","55","1","25","13","7","80","20","5","33","4","21","59","22","30","47","17","4","2","11","36","37","12","4","13","50","26","9","2","14","34","31","15","6","19","31","22","18","11","91","3","2","0","1","1","1","16","30","30","14","9","19","37","24","13","8","4","12","39","15","31","7","26","44","14","10","9","28","51","6","6","8","18","68","3","3","11","23","61","3","3","7","21","63","4","5","9","19","67","2","2","52","48","49","54","3","9","14","32","36","13","6","1","16","31","25","25","48","52","60","79","36","27","19","13","23","29","31","4","38","62","53","47","55","45","49","11","21","20","54","5","4","14","9","14"
"Queens","44","56","0","33","11","21","35","75","25","15","12","9","8","7","6","6","8","6","4","5","3","2","9","9","15","21","27","27","46","29","25","19","31","16","22","6","6","55","42","35","91","9","7","85","9","72","3","9","9","4","12","7","93","43","62","2","98","26","74","2","16","26","54","11","1","33","36","19","11","58","6","6","3","1","68","13","3","1","0","67","16","6","7","3","33","12","17","7","11","60","26","7","1","1","7","9","30","11","4","49","51","51","1","35","10","3","66","34","5","35","3","12","58","25","24","44","23","6","2","14","36","34","12","4","20","55","18","5","2","26","36","25","9","4","31","36","18","10","5","16","51","23","1","7","2","0","14","32","31","13","10","17","40","25","12","7","11","38","38","9","5","9","28","43","14","7","16","34","44","4","2","9","19","66","4","1","14","27","53","5","1","11","23","59","5","1","11","21","67","1","0","54","46","42","57","6","8","19","32","29","13","8","1","20","37","9","17","58","42","60","71","47","30","17","11","21","33","30","5","57","43","56","44","41","59","49","15","15","22","38","19","2","17","11","13"
"SPS","29","71","0","11","39","24","25","18","82","9","5","3","4","3","8","8","9","12","5","7","6","5","15","13","33","22","23","10","12","11","77","13","39","10","24","5","9","51","52","38","58","42","12","68","19","21","0","6","44","36","7","48","52","55","57","1","99","32","68","32","9","29","15","9","0","14","23","38","25","90","29","2","2","0","83","27","2","2","0","71","19","5","0","4","23","31","17","6","41","67","28","7","3","2","71","51","11","5","3","64","36","36","0","5","12","48","15","85","9","23","8","8","60","53","65","25","10","0","0","23","36","35","4","2","40","50","8","3","1","41","40","14","4","1","48","31","13","6","2","80","5","5","0","6","4","1","30","36","24","8","2","43","40","8","6","3","13","7","68","2","9","24","20","44","5","8","12","9","72","0","7","9","9","66","3","13","15","9","70","0","5","14","9","72","3","3","9","6","81","1","3","82","18","46","41","0","32","11","29","24","17","19","1","3","2","25","84","7","93","63","88","49","34","29","20","19","32","26","4","94","6","65","35","49","51","44","16","21","20","35","3","3","18","11","30"
