,areaName,Borough,areaType,year_month,median_rent,year,month
3293,Mott Haven,Bronx,neighborhood,2011-05,763.0,2011,05
3095,Mott Haven,Bronx,neighborhood,2011-04,926.0,2011,04
3491,Mott Haven,Bronx,neighborhood,2011-06,926.0,2011,06
2820,Corona,Queens,neighborhood,2011-03,950.0,2011,03
3018,Corona,Queens,neighborhood,2011-04,950.0,2011,04
3216,Corona,Queens,neighborhood,2011-05,950.0,2011,05
3414,Corona,Queens,neighborhood,2011-06,950.0,2011,06
3612,Corona,Queens,neighborhood,2011-07,950.0,2011,07
3810,Corona,Queens,neighborhood,2011-08,950.0,2011,08
4008,Corona,Queens,neighborhood,2011-09,950.0,2011,09
4206,Corona,Queens,neighborhood,2011-10,950.0,2011,10
4404,Corona,Queens,neighborhood,2011-11,950.0,2011,11
11681,Woodstock,Bronx,neighborhood,2014-11,988.0,2014,11
3972,Bedford Park,Bronx,neighborhood,2011-09,1000.0,2011,09
6348,Bedford Park,Bronx,neighborhood,2012-09,1000.0,2012,09
9912,Bedford Park,Bronx,neighborhood,2014-03,1000.0,2014,03
6150,Bedford Park,Bronx,neighborhood,2012-08,1025.0,2012,08
8526,Bedford Park,Bronx,neighborhood,2013-08,1025.0,2013,08
5952,Bedford Park,Bronx,neighborhood,2012-07,1050.0,2012,07
1056,Elmhurst,Queens,neighborhood,2010-06,1050.0,2010,06
3769,Bath Beach,Brooklyn,neighborhood,2011-08,1075.0,2011,08
3967,Bath Beach,Brooklyn,neighborhood,2011-09,1075.0,2011,09
4561,Bath Beach,Brooklyn,neighborhood,2011-12,1075.0,2011,12
9717,Belmont,Bronx,neighborhood,2014-02,1075.0,2014,02
2435,East Flatbush,Brooklyn,neighborhood,2011-01,1075.0,2011,01
6607,Fordham,Bronx,neighborhood,2012-10,1075.0,2012,10
2551,Sunset Park,Brooklyn,neighborhood,2011-01,1075.0,2011,01
10110,Bedford Park,Bronx,neighborhood,2014-04,1088.0,2014,04
444,Corona,Queens,neighborhood,2010-03,1095.0,2010,03
642,Corona,Queens,neighborhood,2010-04,1095.0,2010,04
8724,Bedford Park,Bronx,neighborhood,2013-09,1098.0,2013,09
246,Corona,Queens,neighborhood,2010-02,1098.0,2010,02
6744,Bedford Park,Bronx,neighborhood,2012-11,1100.0,2012,11
4204,Concourse,Bronx,neighborhood,2011-10,1100.0,2011,10
4600,Concourse,Bronx,neighborhood,2011-12,1100.0,2011,12
48,Corona,Queens,neighborhood,2010-01,1100.0,2010,01
